178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/information/mini_logo.png HTTP/1.1" 200 8085 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/Icons/equipment_icon.png HTTP/1.1" 200 23037 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/Icons/personal_area_icon.png HTTP/1.1" 200 21281 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/Icons/restriction3_icon.png HTTP/1.1" 200 20502 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/Icons/filter_blue.png HTTP/1.1" 200 21000 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/office1.jpg HTTP/1.1" 200 32524 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /templates/it_zen/assets/images/slideshow_arrows.png HTTP/1.1" 200 1958 "http://tariscope.com/templates/it_zen/assets/less/template.css" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/banners/bridges/h_bay_bridge.jpg HTTP/1.1" 200 31226 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /images/information/reports239.jpg HTTP/1.1" 200 38552 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /modules/mod_globalnews/thumbs/00/b_48_48_16777215_590_info_icon48.png HTTP/1.1" 200 3286 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /modules/mod_globalnews/thumbs/05/b_48_48_16777215_585_new_green48.png HTTP/1.1" 200 2357 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /modules/mod_globalnews/thumbs/00/b_48_48_16777215_580_info_icon48.png HTTP/1.1" 200 3286 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:41 -0500] "GET /modules/mod_globalnews/thumbs/00/b_48_48_16777215_560_new_green48.png HTTP/1.1" 200 2357 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:41 -0500] "GET /modules/mod_globalnews/thumbs/06/b_48_48_16777215_536_info_icon48.png HTTP/1.1" 200 3286 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
